word,freq
blue,7
peaceful,5
wet,4
vast,4
cold,4
calm,3
salty,3
deep,3
windy,3
bright,3
large,2
powerful,2
rough,2
fresh,2
relaxing,2
beautiful,2
fun,1
refreshing,1
exciting,1
clean,1
free,1
alluring,1
endless,1
melancholy,1
mysterious,1
dirty,1
dangerous,1
wide,1
tranquil,1
nostalgic,1
warm,1
loud,1
hot,1
pretty,1
sparkly,1
nature,1
wonder,1
quiet,1
empty,1
profound,1
dark,1
wavy,1
serene,1
noisy,1
scary,1
